Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot28,"Carl Berumen",normal,7,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","07:44:40","08:22:44",
Bot31,"Тарас Терехов",normal,14,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","07:44:40","08:19:41",
Bot26,"Danilo Tyre",normal,2,Pending,"Big Red","Big Red: Objective #2","1","07:44:40","N/A",
Bot25,"Fredric Mccusker",normal,11,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","07:44:40","N/A",
Bot29,"Porter Schrum",normal,15,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","07:44:40","08:23:54",
Bot30,"Ross Caples",normal,7,Completed,"Crackhouse","Crackhouse: Objective #7","1","07:44:40","08:23:47",
Bot30,"Ross Caples",normal,7,Completed,"Crackhouse","Crackhouse: Objective #3","1","08:23:52","08:24:00",
Bot30,"Ross Caples",normal,7,Failed,"Crackhouse","Crackhouse: Objective #4","1","08:24:05","08:24:07",
Bot32,"Астап Шишко",normal,45,Active,"Marked Room Rush","Marked Room Rush: Objective #1","5","07:44:40","08:08:57",
Bot33,"Adolph Clare",normal,40,Failed,"Short Cut","Short Cut: Objective #1","1","07:44:40","07:47:51",
Bot33,"Adolph Clare",normal,40,Failed,"Power Switch","Power Switch: Objective #1","1","07:47:56","07:48:03",
Bot33,"Adolph Clare",normal,40,Completed,"Boss Hunter","Spawn Point (411.6 1.0 0.1)","1","07:48:04","07:52:09",
Bot33,"Adolph Clare",normal,40,Completed,"Boss Hunter","Spawn Point (430.8 1.9 54.9)","1","07:52:14","07:52:45",
Bot33,"Adolph Clare",normal,40,Completed,"Boss Hunter","Spawn Point (447.4 7.6 111.1)","1","07:52:50","07:55:02",
Bot33,"Adolph Clare",normal,40,Failed,"Boss Hunter","Spawn Point (454.8 2.1 61.1)","1","07:55:07","07:55:48",
