Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot96,"Михаил Балакирев",37,Pending,"Vitamins - Part 1","Item Chemical container #2","1","01:54:04","N/A",
Bot95,"Виталлий Давыдов",16,Completed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","01:54:04","01:55:06",
Bot95,"Виталлий Давыдов",16,Active,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","01:55:11","N/A",
Bot99,"Aaron Griego",37,Failed,"The Key to Success","Item Clothes design handbook - Part 2","1","01:54:04","01:54:44",
Bot99,"Aaron Griego",37,Failed,"The Key to Success","Item Clothes design handbook - Part 1","1","01:54:49","01:55:22",
Bot99,"Aaron Griego",37,Failed,"Chumming","Zone place_skier_12_1","1","01:55:28","01:55:28",
Bot99,"Aaron Griego",37,Failed,"Vitamins - Part 1","Item Chemical container #3","1","01:55:29","01:56:02",
Bot99,"Aaron Griego",37,Failed,"Vitamins - Part 1","Item Chemical container #2","1","01:56:07","01:56:20",
Bot99,"Aaron Griego",37,Failed,"Boss Hunter","Spawn Point (-55.0 27.1 -200.5)","1","01:56:25","02:07:13",
Bot97,"Альберт Стариков",65,Completed,"IDEA Office","IDEA Office: Objective #1","2","01:54:04","01:57:49",
Bot97,"Альберт Стариков",65,Completed,"IDEA Office","IDEA Office: Objective #3","1","01:57:54","01:58:46",
Bot97,"Альберт Стариков",65,Active,"IDEA Office","IDEA Office: Objective #2","1","01:58:51","N/A",
Bot100,"Douglass Keltner",15,Completed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","01:54:04","01:54:17",
Bot98,"Евгений Соломахин",14,Failed,"Power Station Switch","Power Station Switch: Objective #1","2","01:54:04","02:01:59",
Bot98,"Евгений Соломахин",14,Completed,"Power Station Stashes","Power Station Stashes: Objective #3","1","01:54:42","01:55:03",
Bot98,"Евгений Соломахин",14,Completed,"Power Station Stashes","Power Station Stashes: Objective #2","1","01:55:08","01:55:21",
Bot98,"Евгений Соломахин",14,Failed,"Power Station Stashes","Power Station Stashes: Objective #4","1","01:55:27","01:55:54",
Bot98,"Евгений Соломахин",14,Completed,"Power Station Stashes","Power Station Stashes: Objective #1","1","01:55:59","01:56:21",
Bot98,"Евгений Соломахин",14,Failed,"Goshan North Office","Goshan North Office: Objective #1","2","01:56:26","02:01:59",
Bot103,"Chas Laureano",31,Failed,"Big Sale","Zone place_SALE_03_AVOKADO","1","01:54:04","02:07:43",
Bot101,"Bryon Huneycutt",5,Completed,"OLI Showroom East","OLI Showroom East: Objective #4","1","01:54:04","01:56:39",
Bot101,"Bryon Huneycutt",5,Completed,"OLI Showroom East","OLI Showroom East: Objective #2","1","01:56:44","01:56:56",
Bot101,"Bryon Huneycutt",5,Completed,"OLI Showroom East","OLI Showroom East: Objective #3","1","01:57:01","01:57:08",
Bot101,"Bryon Huneycutt",5,Active,"OLI Showroom East","OLI Showroom East: Objective #1","1","01:57:13","N/A",
Bot102,"Johnny Delagarza",38,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","01:54:04","02:06:42",
