Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot60,"Simon Bronson",41,Active,"Documents","Item Military documents #1","1","15:09:38","N/A",
Bot61,"Alton Aleman",43,Pending,"Command Center","Command Center: Objective #8","1","15:09:38","N/A",
Bot62,"Francesco Mcinturff",12,Active,"Dome Upper Sniping","Dome Upper Sniping: Objective #3","2","15:09:38","N/A",
Bot65,"Филимон Лермонтов",44,Pending,"South Hill Sniping","South Hill Sniping: Objective #3","2","15:09:38","N/A",
Bot65,"Филимон Лермонтов",44,Pending,"South Hill Sniping","South Hill Sniping: Objective #4","1","15:11:21","N/A",
Bot65,"Филимон Лермонтов",44,Pending,"South Hill Sniping","South Hill Sniping: Objective #2","1","15:11:41","N/A",
Bot65,"Филимон Лермонтов",44,Active,"South Hill Sniping","South Hill Sniping: Objective #1","2","15:12:01","N/A",
Bot63,"Ted Constantino",40,Pending,"Boss Hunter","Spawn Point (-85.1 -14.5 36.9)","1","15:09:38","N/A",
Bot63,"Ted Constantino",40,Completed,"Boss Hunter","Spawn Point (-90.4 -14.5 14.5)","1","15:11:10","15:13:07",
Bot63,"Ted Constantino",40,Completed,"Boss Hunter","Spawn Point (-117.6 -14.6 58.7)","1","15:13:12","15:13:33",
Bot63,"Ted Constantino",40,Pending,"Boss Hunter","Spawn Point (-94.9 -14.8 3.4)","1","15:13:38","N/A",
Bot63,"Ted Constantino",40,Active,"Boss Hunter","Spawn Point (-104.2 -14.5 33.8)","1","15:14:37","N/A",
Bot64,"Игнатий Копейкин",29,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","15:09:38","15:09:39",
Bot64,"Игнатий Копейкин",29,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","15:09:45","15:09:47",
Bot64,"Игнатий Копейкин",29,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","15:09:52","N/A",
Bot64,"Игнатий Копейкин",29,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","15:11:18","N/A",
Bot64,"Игнатий Копейкин",29,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","15:11:38","N/A",
Bot64,"Игнатий Копейкин",29,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_11","1","15:12:39","15:14:35",
Bot64,"Игнатий Копейкин",29,Pending,"Surplus Goods","Item MBT Integrated Navigation System","1","15:14:40","N/A",
Bot64,"Игнатий Копейкин",29,Active,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","15:15:26","N/A",
Bot72,"Ferdinand Magers",35,Completed,"A Fuel Matter","Zone baraholshik_fuel_area_3","1","15:09:48","15:10:15",
Bot72,"Ferdinand Magers",35,Pending,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","15:10:21","N/A",
Bot72,"Ferdinand Magers",35,Active,"Gas Station Building","Gas Station Building: Objective #1","1","15:14:22","N/A",
Bot74,"Ростислав Самсонов",59,Completed,"Boss Hunter","Spawn Point (216.7 -6.9 -176.9)","1","15:09:50","15:10:05",
Bot74,"Ростислав Самсонов",59,Pending,"Boss Hunter","Spawn Point (225.1 -6.8 -123.0)","1","15:10:10","N/A",
Bot74,"Ростислав Самсонов",59,Completed,"Boss Hunter","Spawn Point (230.4 -6.8 -117.5)","1","15:10:46","15:11:14",
Bot74,"Ростислав Самсонов",59,Completed,"Boss Hunter","Spawn Point (217.3 -6.9 -172.0)","1","15:11:19","15:12:08",
Bot74,"Ростислав Самсонов",59,Completed,"Boss Hunter","Spawn Point (240.9 -7.1 -94.9)","1","15:12:13","15:12:58",
Bot74,"Ростислав Самсонов",59,Completed,"Boss Hunter","Spawn Point (219.2 -6.9 -174.0)","1","15:13:03","15:13:24",
Bot74,"Ростислав Самсонов",59,Completed,"Boss Hunter","Spawn Point (243.1 -7.1 -88.1)","1","15:13:29","15:14:10",
Bot74,"Ростислав Самсонов",59,Completed,"Boss Hunter","Spawn Point (218.0 -6.9 -175.7)","1","15:14:15","15:15:57",
Bot74,"Ростислав Самсонов",59,Active,"White Rook Barracks","White Rook Barracks: Objective #2","1","15:16:02","N/A",
