Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot76,"Константин Саитов",40,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","00:17:13","N/A",
Bot77,"Freddie Zellmer",14,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","00:17:13","00:17:20",
Bot77,"Freddie Zellmer",14,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","00:17:25","00:18:07",
Bot77,"Freddie Zellmer",14,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","00:18:12","00:18:30",
Bot77,"Freddie Zellmer",14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:18:36","00:18:53",
Bot79,"Man Schaff",18,Pending,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","1","00:17:13","N/A",
Bot80,"Spencer Simek",39,Pending,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","1","00:17:13","N/A",
Bot78,"Carrol Kemmerer",39,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","00:17:13","00:18:15",
Bot78,"Carrol Kemmerer",39,Pending,"Boss Hunter","Spawn Point (98.9 22.9 -85.0)","1","00:18:20","N/A",
Bot83,"Myles Lampman",21,Pending,"Boss Hunter","Spawn Point (57.5 23.4 229.6)","1","00:17:13","N/A",
Bot82,"Deshawn Vosburg",37,Active,"Capital Insight","Capital Insight: Objective #5","1","00:17:13","N/A",
Bot81,"Михей Милюков",12,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","00:17:14","00:17:37",
Bot81,"Михей Милюков",12,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","00:17:42","00:17:42",
Bot81,"Михей Милюков",12,Completed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","00:17:47","00:18:01",
Bot81,"Михей Милюков",12,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","00:18:06","N/A",
