Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Arden Sobel",33,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","11:27:07","11:28:33",
Bot2,"Arden Sobel",33,Failed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","11:28:38","11:28:57",
Bot3,"Dwain Rusin",38,Completed,"Boss Hunter","Spawn Point (-151.9 -4.9 -268.6)","1","11:27:07","11:28:15",
Bot3,"Dwain Rusin",38,Completed,"Boss Hunter","Spawn Point (-299.2 -5.1 -151.4)","1","11:28:20","11:29:29",
Bot3,"Dwain Rusin",38,Completed,"Boss Hunter","Spawn Point (-350.3 -5.1 -175.1)","1","11:29:34","11:29:46",
Bot3,"Dwain Rusin",38,Failed,"Boss Hunter","Spawn Point (-343.3 -5.2 -113.7)","1","11:29:51","11:30:45",
Bot5,"Тихон Щавельский",45,Completed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","11:27:07","11:27:17",
Bot5,"Тихон Щавельский",45,Completed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","11:27:22","11:31:46",
Bot5,"Тихон Щавельский",45,Completed,"Colleagues - Part 1","Zone ter_023_area_2_1","1","11:31:51","11:32:24",
Bot5,"Тихон Щавельский",45,Completed,"Colleagues - Part 1","Zone ter_023_area_1_1","1","11:32:29","11:34:41",
Bot4,"Гордей Чуприн",28,Completed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","11:27:07","11:28:56",
Bot4,"Гордей Чуприн",28,Completed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","11:29:01","11:32:17",
Bot4,"Гордей Чуприн",28,Failed,"Rigged Game","Zone skier_022_area_2","2","11:32:22","11:36:08",
Bot6,"Antone Makris",35,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","11:27:08","11:27:34",
Bot9,"Игорь Церетели",34,Pending,"Lend-Lease - Part 1","Item Motor Controller #2","1","11:27:10","N/A",
Bot8,"Панкрат Корчагин",25,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","11:27:10","11:27:47",
Bot8,"Панкрат Корчагин",25,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","11:27:52","11:29:39",
Bot8,"Панкрат Корчагин",25,Completed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","11:29:44","11:35:56",
Bot8,"Панкрат Корчагин",25,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","11:36:02","11:36:45",
Bot8,"Панкрат Корчагин",25,Pending,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","11:36:51","N/A",
Bot11,"Ефим Полторак",40,Failed,"Chemistry Closet","Zone place_meh_sanitar_room","1","11:27:11","11:32:00",
Bot11,"Ефим Полторак",40,Completed,"Rigged Game","Zone skier_022_area_1","2","11:32:05","11:33:00",
Bot11,"Ефим Полторак",40,Completed,"Rigged Game","Zone skier_022_area_2","2","11:33:05","11:39:00",
Bot11,"Ефим Полторак",40,Completed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","11:39:05","11:41:33",
Bot11,"Ефим Полторак",40,Active,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","11:41:38","N/A",
Bot12,"Ефрем Опокин",6,Pending,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #8","1","11:27:12","N/A",
