Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot34,"Ollie Vosburg",66,Completed,"Finance Building","Finance Building: Objective #1","2","09:05:57","09:08:41",
Bot34,"Ollie Vosburg",66,Completed,"Finance Building","Finance Building: Objective #3","1","09:08:46","09:09:40",
Bot34,"Ollie Vosburg",66,Completed,"Finance Building","Finance Building: Objective #2","1","09:09:45","09:10:10",
Bot34,"Ollie Vosburg",66,Completed,"Finance Building","Finance Building: Objective #4","3","09:10:15","09:12:19",
Bot34,"Ollie Vosburg",66,Completed,"Trouble in the Big City","Zone quest_zone_keeper10_place","1","09:12:25","09:18:07",
Bot34,"Ollie Vosburg",66,Completed,"Trouble in the Big City","Zone quest_zone_c16_koll_1","1","09:18:12","09:18:21",
Bot34,"Ollie Vosburg",66,Completed,"House Arrest - Part 2","Zone quest_zone_c8_dom2_dead","1","09:18:26","09:19:43",
Bot34,"Ollie Vosburg",66,Pending,"House Arrest - Part 2","Zone quest_zone_c8_dom2","1","09:19:48","N/A",
Bot35,"Delmar Bohnsack",70,Pending,"Information Source","Zone quest_zone_place_c24_tigr1","1","09:05:57","N/A",
Bot36,"Макар Фадеев",42,Completed,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","09:05:57","09:07:25",
Bot36,"Макар Фадеев",42,Completed,"The Hive","The Hive: Objective #2","1","09:07:30","09:10:17",
Bot36,"Макар Фадеев",42,Completed,"The Hive","The Hive: Objective #3","1","09:10:22","09:10:27",
Bot36,"Макар Фадеев",42,Completed,"The Hive","The Hive: Objective #5","1","09:10:32","09:10:49",
Bot36,"Макар Фадеев",42,Completed,"The Hive","The Hive: Objective #4","1","09:10:54","09:11:03",
Bot36,"Макар Фадеев",42,Failed,"Road Closed","Zone quest_zone_c16_koll_1","1","09:11:09","09:12:06",
Bot37,"Jeramy Duron",29,Completed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent1","1","09:05:57","09:06:15",
Bot37,"Jeramy Duron",29,Failed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent2","1","09:06:20","09:07:39",
Bot37,"Jeramy Duron",29,Completed,"The Door","Zone quest_zone_hide_sillent2","1","09:07:44","09:09:45",
Bot37,"Jeramy Duron",29,Completed,"The Door","Zone quest_zone_find_sillent","1","09:09:50","09:09:58",
Bot37,"Jeramy Duron",29,Completed,"The Door","Zone quest_zone_hide_sillent","1","09:10:03","09:10:07",
Bot37,"Jeramy Duron",29,Failed,"Glory to CPSU - Part 2","Zone quest_zone_find_2st_kpss2","1","09:10:12","09:15:31",
Bot38,"Gerardo Mulvihill",28,Completed,"Population Census","Item Housing office journal","1","09:05:57","09:06:46",
Bot38,"Gerardo Mulvihill",28,Failed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent2","1","09:06:51","09:07:34",
Bot38,"Gerardo Mulvihill",28,Completed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent1","1","09:07:39","09:08:04",
Bot38,"Gerardo Mulvihill",28,Failed,"Green Corridor","Zone quest_zone_c16_koll_2","1","09:08:09","09:10:48",
Bot39,"Корней Набатов",64,Completed,"Your Car Needs a Service","Item Secure Flash drive","1","09:05:57","09:07:40",
Bot39,"Корней Набатов",64,Completed,"Lexos Center","Lexos Center: Objective #3","1","09:07:45","09:08:34",
Bot39,"Корней Набатов",64,Completed,"Lexos Center","Lexos Center: Objective #4","1","09:08:39","09:09:14",
Bot39,"Корней Набатов",64,Completed,"Lexos Center","Lexos Center: Objective #2","1","09:09:19","09:09:27",
Bot39,"Корней Набатов",64,Completed,"Lexos Center","Lexos Center: Objective #1","1","09:09:33","09:10:31",
Bot39,"Корней Набатов",64,Completed,"Lexos Center","Lexos Center: Objective #5","1","09:10:36","09:10:59",
Bot39,"Корней Набатов",64,Failed,"House Arrest - Part 1","Zone quest_zone_c8_dom1","1","09:11:04","09:13:08",
Bot45,"Иннокентий Титович",39,Failed,"Your Car Needs a Service","Item Secure Flash drive","1","09:06:14","09:11:03",
Bot47,"Franklin Longnecker",56,Pending,"Information Source","Zone quest_zone_place_c24_tigr2","1","09:06:24","N/A",
Bot46,"Chester Overby",45,Completed,"Spotter","Zone quest_zone_keeper8_1","1","09:06:24","09:07:05",
Bot46,"Chester Overby",45,Completed,"Spotter","Zone quest_zone_keeper8_1_hide1","1","09:07:10","09:07:26",
Bot46,"Chester Overby",45,Failed,"Spotter","Zone quest_zone_keeper8_1_hide2","1","09:07:31","09:14:00",
Bot99,"Нойс Бесовской (Burt)",1,Active,"Pinewood Hotel Dentist","Pinewood Hotel Dentist: Objective #2","1","09:16:07","N/A",
Bot105,"Трифон Ебанько (Numbers)",1,Pending,"Klimova 16A","Klimova 16A: Objective #2","1","09:17:37","N/A",
Bot105,"Трифон Ебанько (Numbers)",1,Active,"Klimova 16A","Klimova 16A: Objective #1","1","09:23:00","N/A",
Bot114,"Мирослав Слон (Frances)",1,Pending,"Vet Clinic","Vet Clinic: Objective #1","1","09:19:31","N/A",
Bot121,"Филипп Почетный (Ellsworth)",1,Failed,"Concordia Building 9 Gym","Concordia Building 9 Gym: Objective #2","1","09:20:11","09:21:35",
Bot141,"Тимурка Наушник (Stacy)",1,Active,"Pinewood Hotel Dentist","Pinewood Hotel Dentist: Objective #1","1","09:24:21","N/A",
