Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot225,"Judson Medlin",36,Pending,"The Blood of War - Part 3","Zone bar_fuel3_2","1","02:24:27","N/A",
Bot227,"Виктор Торшин",21,Failed,"Steady Signal","Zone q14_8_5","1","02:24:27","02:28:17",
Bot228,"Мирослав Булгаков",17,Pending,"Gratitude","Zone place_THX_15","1","02:24:27","N/A",
Bot226,"Филипп Туров",36,Failed,"RUAF Roadblock Sniping","RUAF Roadblock Sniping: Objective #1","1","02:24:27","02:25:44",
Bot229,"Самуил Пугачёв",23,Pending,"Gratitude","Zone place_THX_15","1","02:24:27","N/A",
Bot230,"Robbie Hausmann",18,Pending,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","02:24:28","N/A",
Bot232,"Корней Краснов",19,Pending,"USEC Camp North","USEC Camp North: Objective #1","1","02:24:43","N/A",
Bot231,"Савелий Близнюк",25,Pending,"Supply Plans","Item Secure Folder 0052","1","02:24:43","N/A",
Bot236,"Филат Саянкин",19,Failed,"Supply Plans","Item Secure Folder 0052","1","02:24:50","02:32:45",
Bot247,"Eloy Bondy",21,Failed,"Supply Plans","Item Secure Folder 0052","1","02:28:43","02:29:08",
Bot272,"Астап Улицкий",25,Pending,"Lend-Lease - Part 1","Item Motor Controller #1","1","02:39:03","N/A",
