Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Демиан Авдонин",54,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","20:03:35","N/A",
Bot3,"Odell Nakagawa",36,Failed,"Bullshit","Item Flash drive with fake info","1","20:03:35","20:23:39",
Bot1,"Корнил Емелин",43,Failed,"Storage","Storage: Objective #1","1","20:03:35","20:12:46",
Bot4,"Lamont Darrah",45,Failed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","20:03:35","20:18:40",
Bot8,"Emile Parkison",5,Failed,"Admin Gate","Admin Gate: Objective #1","1","20:03:44","20:19:20",
Bot9,"Adolph Beeson",36,Failed,"Boss Hunter","Spawn Point (255.5 1.2 -108.4)","1","20:03:45","20:10:10",
Bot12,"Alex Czajkowski",44,Pending,"Bullshit","Zone Q019_3","1","20:03:49","N/A",
Bot13,"Paul Vest",68,Pending,"The Courier","Zone mech_41_2","1","20:03:55","N/A",
Bot31,"Паша Мошенник (Myron)",1,Failed,"Warehouse 17","Warehouse 17: Objective #1","1","20:14:53","20:17:45",
Bot30,"Гога Зырь-труба (Reyes)",1,Pending,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","20:14:53","N/A",
Bot32,"Пахомий Пиздюли (Troy)",1,Pending,"Power Switch","Power Switch: Objective #1","1","20:16:19","N/A",
Bot36,"Жора Топор (Sonny)",1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","20:20:51","20:23:45",
Bot41,"Ильнур Карась (Alphonso)",1,Pending,"Factory Shacks","Factory Shacks: Objective #1","1","20:23:36","N/A",
Bot43,"Мирон Ортопед (Aldo)",1,Pending,"Big Red","Big Red: Objective #3","1","20:24:40","N/A",
Bot53,"Гарик Контрольный (Dustin)",1,Pending,"Old Gas","Old Gas: Objective #1","1","20:27:49","N/A",
