Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Demetrius Thielen",26,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","21:13:37","21:14:11",
Bot2,"Willy North",40,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","21:13:37","21:14:16",
Bot2,"Willy North",40,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","21:14:21","21:14:46",
Bot2,"Willy North",40,Failed,"Weapon Crates outside Office","Weapon Crates outside Office: Objective #1","1","21:14:51","21:15:31",
Bot6,"Donn Barnwell",36,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","21:13:37","21:13:51",
Bot5,"Cary Leavell",38,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","21:13:37","21:13:58",
Bot4,"Пётр Мирнов",40,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","21:13:37","21:13:45",
Bot9,"Пися Фриц (Rufus)",1,Completed,"3rd Floor Hallway","3rd Floor Hallway: Objective #1","1","21:13:38","21:13:44",
Bot9,"Пися Фриц (Rufus)",1,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","21:13:50","21:14:25",
Bot10,"Luther Berrier",23,Active,"Chemical - Part 3","Item Syringe with a chemical","1","21:13:41","N/A",
