Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot69,"Герасим Лаврентьев",53,Completed,"Negotiation Room","Negotiation Room: Objective #1","1","01:24:20","01:24:46",
Bot69,"Герасим Лаврентьев",53,Completed,"Negotiation Room","Negotiation Room: Objective #2","1","01:24:51","01:25:04",
Bot69,"Герасим Лаврентьев",53,Completed,"Boss Hunter","Spawn Point (-134.6 4.2 -346.0)","1","01:25:09","01:25:48",
Bot69,"Герасим Лаврентьев",53,Failed,"Boss Hunter","Spawn Point (-127.8 4.2 -382.3)","1","01:25:53","01:26:34",
Bot70,"Alberto Bilderback",35,Completed,"Server Room Control Room","Server Room Control Room: Objective #1","3","01:24:20","01:25:17",
Bot70,"Alberto Bilderback",35,Failed,"TerraGroup Employee","Item Flash drive marked with blue tape","1","01:25:22","01:28:07",
Bot68,"Евдоким Дорохин",36,Completed,"Spawn Rush","Spawn Rush: Objective #1","1","01:24:20","01:26:13",
Bot68,"Евдоким Дорохин",36,Failed,"Parking Stairwell","Parking Stairwell: Objective #1","2","01:26:18","01:27:52",
Bot71,"Феликс Евсеев",43,Failed,"Green Room","Green Room: Objective #3","1","01:24:20","01:24:42",
Bot71,"Феликс Евсеев",43,Completed,"Green Room","Green Room: Objective #2","1","01:24:47","01:25:03",
Bot71,"Феликс Евсеев",43,Failed,"Green Room","Green Room: Objective #1","1","01:25:08","01:29:38",
Bot72,"Николай Бугаков",64,Failed,"Black Room","Black Room: Objective #1","1","01:24:20","01:26:04",
Bot73,"Лаврентий Савасин",44,Completed,"Medical Block Elevator Stairwell","Medical Block Elevator Stairwell: Objective #1","2","01:24:23","01:29:01",
Bot73,"Лаврентий Савасин",44,Completed,"Server Room SW Stairs","Server Room SW Stairs: Objective #1","1","01:29:02","01:29:18",
Bot73,"Лаврентий Савасин",44,Pending,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","01:29:24","N/A",
Bot73,"Лаврентий Савасин",44,Pending,"Following the Bread Crumbs","Item Secured tape","1","01:30:22","N/A",
Bot73,"Лаврентий Савасин",44,Active,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","01:31:10","N/A",
Bot74,"Леонтий Унковский",45,Completed,"Cafeteria Camping","Cafeteria Camping: Objective #1","2","01:24:23","01:25:10",
Bot74,"Леонтий Унковский",45,Completed,"Boss Hunter","Spawn Point (-248.8 4.2 -362.2)","1","01:25:11","01:25:48",
Bot74,"Леонтий Унковский",45,Completed,"Boss Hunter","Spawn Point (-279.6 0.1 -365.4)","1","01:25:53","01:26:16",
Bot74,"Леонтий Унковский",45,Completed,"Boss Hunter","Spawn Point (-244.8 -4.0 -414.8)","1","01:26:21","01:29:20",
Bot74,"Леонтий Унковский",45,Active,"Boss Hunter","Spawn Point (-245.3 2.7 -452.9)","1","01:29:25","N/A",
Bot75,"Антон Большаков",40,Pending,"Boss Hunter","Spawn Point (-183.6 2.7 -227.1)","1","01:24:29","N/A",
Bot75,"Антон Большаков",40,Completed,"Boss Hunter","Spawn Point (-116.4 0.0 -256.5)","1","01:25:58","01:27:19",
Bot75,"Антон Большаков",40,Pending,"Boss Hunter","Spawn Point (-157.2 2.7 -227.0)","1","01:27:25","N/A",
Bot75,"Антон Большаков",40,Pending,"Boss Hunter","Spawn Point (-157.6 2.7 -222.8)","1","01:28:01","N/A",
Bot75,"Антон Большаков",40,Completed,"Boss Hunter","Spawn Point (-206.3 1.5 -291.0)","1","01:28:58","01:30:10",
Bot75,"Антон Большаков",40,Active,"Boss Hunter","Spawn Point (-248.8 4.2 -362.2)","1","01:30:15","N/A",
